Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Total Traded Quantity,Value,No. Of Trades
GOLD10G99,EG,2026-08-17,156298.0,158905.0,158962.0,158905.0,158961.0,158961.0,218.0,34647503.0,98.0
GOLD10G99,EG,2026-08-18,158961.0,158971.0,159006.0,158968.0,159006.0,159006.0,228.0,36249439.0,101.0
GOLD10G99,EG,2026-08-19,159006.0,158068.0,158090.0,158031.0,158090.0,158090.0,151.0,23866154.0,61.0
GOLD10G99,EG,2026-08-20,158090.0,162453.0,163474.0,162453.0,162480.0,162480.0,81.0,13163957.0,38.0
GOLD10G99,EG,2026-08-21,162480.0,164600.0,164623.0,164600.0,164623.0,164623.0,92.0,15144088.0,44.0
GOLD10G99,EG,2026-08-24,164623.0,166853.0,166887.0,166853.0,166887.0,166887.0,109.0,18188565.0,53.0
GOLD10G99,EG,2026-08-25,166887.0,167156.0,167173.0,167154.0,167173.0,167173.0,123.0,20561161.0,52.0
GOLD10G99,EG,2026-08-26,167173.0,167102.0,167124.0,167102.0,167122.0,167122.0,135.0,22560140.0,57.0
GOLD10G99,EG,2026-08-27,167122.0,163181.0,163198.0,163177.0,163198.0,163198.0,124.0,20235197.0,49.0
GOLD10G99,EG,2026-08-28,163198.0,163244.0,163283.0,163243.0,163279.0,163279.0,106.0,17305529.0,40.0
GOLD10G99,EG,2026-08-31,163279.0,159605.0,159630.0,159604.0,159630.0,159630.0,126.0,20112058.0,50.0
GOLD10G99,EG,2026-09-01,159630.0,159715.0,159722.0,159714.0,159717.0,159717.0,123.0,19645364.0,43.0
GOLD10G99,EG,2026-09-02,159717.0,155312.0,155334.0,155312.0,155334.0,155334.0,135.0,20968329.0,49.0
GOLD10G99,EG,2026-09-03,155334.0,159270.0,159282.0,159263.0,159282.0,159282.0,104.0,16564411.0,37.0
GOLD10G99,EG,2026-09-04,159282.0,160170.0,160187.0,160168.0,160187.0,160187.0,104.0,16658329.0,37.0
GOLD10G99,EG,2026-09-07,160187.0,157538.0,157568.0,157538.0,157568.0,157568.0,136.0,21426857.0,44.0
GOLD10G99,EG,2026-09-08,157568.0,158326.0,158346.0,158322.0,158343.0,158343.0,124.0,19633426.0,41.0
GOLD10G99,EG,2026-09-09,158343.0,157696.0,157737.0,157693.0,157737.0,157737.0,140.0,22080136.0,50.0
GOLD10G99,EG,2026-09-10,157737.0,158954.0,158982.0,158953.0,158982.0,158982.0,116.0,18440263.0,42.0
GOLD10G99,EG,2026-09-11,158982.0,156868.0,156897.0,156868.0,156897.0,156897.0,102.0,16002032.0,37.0
